title,author,short_author,date,genre,tt,publisher,pubplace,extent,editor,pubdate,createdate,authordates,keywords,language,collection,gender,sourcenote,period,shrtcite,filename,filesize,philodocid
Pensées et maximes,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1869,melangeslitteraires,prose,"Ed. M. Chapelain. Paris, Grasset, 1955.",,,,1955,1869,,,,,M,,,TLF,TLF.1199.tei,210436,914
Les cahiers de Sainte-Beuve: suivis de quelques pages de littérature antique.,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1869,memoires,prose,"Paris, A. Lemerre, 1876.",,,,1876,1869,,,,,M,,,TLF,TLF.1198.tei,140595,912
Mes poisons: cahiers intimes inédits,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1869,memoires,prose,"Ed. V. Giraud. Paris, Plon, 1926.",,,,1926,1869,,,,,M,,,TLF,TLF.1200.tei,167297,913
"Vie, poésies et pensées de Joseph Delorme","Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1829,poesie,verse,"Ed. G. Antoine. Paris, Nouv. Ed. Latines, 1957.",,,,1957,1829,,,,,M,,,TLF,TLF.917.tei,157538,181
Volupté,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1834,roman,prose,"Ed. P. Poux. Paris, Belles-Lettres, 1927.",,,,1927,1834,,,,,M,,,TLF,TLF.973.tei,817437,279
Derniers portraits littéraires,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1852,traite,prose,Didier,Paris,,,1852,1852,,,,,M,Pagination does not correspond to the original edition.,,StBeuveDerniersPortraits,CSS.st_beuve_derniers_portraits.tei,1177345,683
Tableau historique et critique de la poésie française et du théâtre français au XVIe siècle,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1828,traiteessai,prose,"Paris, Charpentier, 1843.",,,,1843,1828,,,,,M,,,TLF,TLF.913.tei,524344,170
Port-Royal. T. 1,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1840,traiteessai,prose,"Paris, Hachette, 1860.",,,,1860,1840,,,,,M,,,TLF,TLF.1042.tei,802959,401
Port-Royal. T. 2,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1842,traiteessai,prose,"Paris, Hachette, 1860.",,,,1860,1842,,,,,M,,,TLF,TLF.1052.tei,850144,457
Port-Royal. T. 3,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1848,traiteessai,prose,"Paris, Hachette, 1860.",,,,1860,1848,,,,,M,,,TLF,TLF.1083.tei,872527,630
Port-Royal. T. 4,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1859,traiteessai,prose,"Paris, Hachette, 1860.",,,,1860,1859,,,,,M,,,TLF,TLF.1142.tei,824431,779
Port-Royal T. 5,"Sainte-Beuve, Charles Augustin, 1804-1869.",SainteBeuve,1859,traiteessai,prose,"Paris, Hachette, 1860.",,,,1860,1859,,,,,M,,,TLF,TLF.1143.tei,874248,780
Les Sept cordes de la lyre,"Sand, George, 1804-1876.",Sand,1869,dialogue,prose,,,,,1869,,,,Français,,F,,,ROM00186,ROM00186.tei,277132,915
André,"Sand, George, 1804-1876.",Sand,1835,indefini,prose,,,,,1835,,,,Français,,F,,,ROM00142,ROM00142.tei,396649,307
La Dernière Aldini,"Sand, George, 1804-1876.",Sand,1837,indefini,prose,,,,,1837,,,,Français,,F,,,ROM00164,ROM00164.tei,392080,338
Mauprat,"Sand, George, 1804-1876.",Sand,1837,indefini,prose,,,,,1837,,,,Français,,F,,,ROM00194,ROM00194.tei,715698,340
La Petite Fadette,"Sand, George, 1804-1876.",Sand,1849,indefini,prose,,,,,1849,,,,Français,,F,,,ROM00168,ROM00168.tei,364680,639
Flamarande,"Sand, George, 1804-1876.",Sand,1856,indefini,prose,,,,,1856,,,,Français,,F,,,ROM00150,ROM00150.tei,403404,735
Nouvelles lettres d' un voyageur,"Sand, George, 1804-1876.",Sand,1834,Lettres,prose,,,,,1834,,,,Français,,F,,,ROM00199,ROM00199.tei,248794,283
Histoire de ma vie,"Sand, George, 1804-1876.",Sand,1855,memoires,prose,"In Oeuvres Completes, T.40,41,42,43. Paris, Calmann-Levy, 1879.",,,,1879,1855,,,,,F,,,TLF,TLF.1114.tei,3028772,723
L' Uscoque,"Sand, George, 1804-1876.",Sand,1838,nouvelle,prose,,,,,1838,,,,Français,,F,,,ROM00160,ROM00160.tei,419744,362
Lettres d'un voyageur,"Sand, George, 1804-1876.",Sand,1837,recitvoyage,prose,"Paris: Garnier-Flammarion, 1971",,,,,1837,,,,,F,,,FWW,FWW.sand.voyageur.tei,737123,339
Un Hiver à Majorque,"Sand, George, 1804-1876.",Sand,1842,recitvoyage,prose,"Barcelona: EMEGE Industrias Gráfricas, 1981",,,,,1842,,,,,F,,,FWW,FWW.sand.majorque.tei,334670,459
Indiana,"Sand, George, 1804-1876.",Sand,1832,roman,prose,"Paris: Gallimard, 1984.",,,,,1832,,,,,F,,,FWW,FWW.sand.indiana.tei,614124,233
Valentine,"Sand, George, 1804-1876.",Sand,1832,roman,prose,,,,,1832,,,,Français,,F,,,ROM00207,ROM00207.tei,605266,234
Lélia--1833,"Sand, George, 1804-1876.",Sand,1833,roman,prose,"Ed. P. Reboul. Paris, Garnier, 1960.",,,,1960,1833,,,,,F,,,TLF,TLF.961.tei,683725,263
Jacques,"Sand, George, 1804-1876.",Sand,1834,roman,prose,,,,,1834,,,,Français,,F,,,ROM00156,ROM00156.tei,676227,280
Le Secrétaire intime,"Sand, George, 1804-1876.",Sand,1834,roman,prose,,,,,1834,,,,Français,,F,,,ROM00180,ROM00180.tei,394229,281
Léone Léoni,"Sand, George, 1804-1876.",Sand,1834,roman,prose,,,,,1834,,,,Français,,F,,,ROM00189,ROM00189.tei,297020,282
Simon,"Sand, George, 1804-1876.",Sand,1836,roman,prose,,,,,1836,,,,Français,,F,,,ROM00202,ROM00202.tei,344104,329
Spiridion,"Sand, George, 1804-1876.",Sand,1838,roman,prose,,,,,1838,,,,Français,,F,,,ROM00203,ROM00203.tei,499934,363
Lélia--1839,"Sand, George, 1804-1876.",Sand,1839,roman,prose,"Ed. P. Reboul. Paris, Garnier, 1960.",,,,1960,1839,,,,,F,,,TLF,TLF.1025.tei,450767,379
Le Compagnon du Tour de France,"Sand, George, 1804-1876.",Sand,1840,roman,prose,,,,,1840,,,,Français,,F,,,ROM00174,ROM00174.tei,857049,402
Horace,"Sand, George, 1804-1876.",Sand,1841,roman,prose,,,,,1841,,,,Français,,F,,,ROM00154,ROM00154.tei,791415,412
Consuelo (tome 1),"Sand, George, 1804-1876.",Sand,1842,roman,prose,"Éd. Simone Vierne et René Bourgeois. Grenoble: Éditions Glénat, 1998",,,,,1842,,,,,F,,,FWW,FWW.sand.consuelo1.tei,1140955,458
Consuelo (tome 2),"Sand, George, 1804-1876.",Sand,1843,roman,prose,"Éd. Simone Vierne et René Bourgeois. Grenoble: Éditions Glénat, 2000",,,,,1843,,,,,F,,,FWW,FWW.sand.consuelo2.tei,1016874,478
La Comtesse de Rudolstadt,"Sand, George, 1804-1876.",Sand,1843,roman,prose,"Éd. Simone Vierne et René Bourgeois. Grenoble: Éditions Glénat, 2000",,,,,1843,,,,,F,,,FWW,FWW.sand.rudol.tei,1310754,479
Jeanne,"Sand, George, 1804-1876.",Sand,1844,roman,prose,,,,,1844,,,,Français,,F,,,ROM00158,ROM00158.tei,666677,509
Le Meunier d' Angibault,"Sand, George, 1804-1876.",Sand,1844,roman,prose,,,,,1844,,,,Français,,F,,,ROM00178,ROM00178.tei,699148,510
La Mare au Diable,"Sand, George, 1804-1876.",Sand,1846,roman,prose,"Paris: Bokking International, 1993.",,,,,1846,,,,,F,,,FWW,FWW.sand.mare.tei,243075,580
Le Péché de Monsieur Antoine,"Sand, George, 1804-1876.",Sand,1846,roman,prose,,,,,1846,,,,Français,,F,,,ROM00179,ROM00179.tei,921735,581
Teverino,"Sand, George, 1804-1876.",Sand,1846,roman,prose,,,,,1846,,,,Français,,F,,,ROM00205,ROM00205.tei,327247,582
François le champi,"Sand, George, 1804-1876.",Sand,1850,roman,prose,"Paris: Société Nouvelle des Éditions G.P., 1965",,,,,1850,,,,,F,,,FWW,FWW.sand.champi.tei,299850,649
Lucrezia Floriani,"Sand, George, 1804-1876.",Sand,1851,roman,prose,,,,,1851,,,,Français,,F,,,ROM00187,ROM00187.tei,515364,662
Adriani,"Sand, George, 1804-1876.",Sand,1853,roman,prose,,,,,1853,,,,Français,,F,,,ROM00141,ROM00141.tei,377335,701
La Filleule,"Sand, George, 1804-1876.",Sand,1853,roman,prose,,,,,1853,,,,Français,,F,,,ROM00166,ROM00166.tei,626673,702
Le château des désertes,"Sand, George, 1804-1876.",Sand,1853,roman,prose,Publishing info unknown,,,,,1853,,,,,F,,,FWW,FWW.sand.chateau.tei,321900,703
Mont-Revêche,"Sand, George, 1804-1876.",Sand,1853,roman,prose,,,,,1853,,,,Français,,F,,,ROM00196,ROM00196.tei,566852,704
La Daniella,"Sand, George, 1804-1876.",Sand,1857,roman,prose,,,,,1857,,,,Français,,F,,,ROM00163,ROM00163.tei,1227795,748
Le Diable aux champs,"Sand, George, 1804-1876.",Sand,1857,roman,prose,,,,,1857,,,,Français,,F,,,ROM00176,ROM00176.tei,601489,749
Les Beaux Messieurs de Bois Doré,"Sand, George, 1804-1876.",Sand,1858,roman,prose,,,,,1858,,,,Français,,F,,,ROM00181,ROM00181.tei,1104949,762
Elle et lui,"Sand, George, 1804-1876.",Sand,1859,roman,prose,"Paris: Éditions du Seuil, 1999",,,,,1859,,,,,F,,,FWW,FWW.sand.elleetlui.tei,413473,781
L' Homme de neige,"Sand, George, 1804-1876.",Sand,1859,roman,prose,,,,,1859,,,,Français,,F,,,ROM00159,ROM00159.tei,1161903,782
Narcisse,"Sand, George, 1804-1876.",Sand,1859,roman,prose,,,,,1859,,,,Français,,F,,,ROM00198,ROM00198.tei,381188,783
Constance Verrier,"Sand, George, 1804-1876.",Sand,1860,roman,prose,,,,,1860,,,,Français,,F,,,ROM00145,ROM00145.tei,378371,801
Jean de la Roche,"Sand, George, 1804-1876.",Sand,1860,roman,prose,,,,,1860,,,,Français,,F,,,ROM00157,ROM00157.tei,408534,802
La Famille de Germandre,"Sand, George, 1804-1876.",Sand,1861,roman,prose,,,,,1861,,,,Français,,F,,,ROM00165,ROM00165.tei,326361,809
La Ville noire,"Sand, George, 1804-1876.",Sand,1861,roman,prose,,,,,1861,,,,Français,,F,,,ROM00170,ROM00170.tei,294602,810
Le Marquis de Villemer,"Sand, George, 1804-1876.",Sand,1861,roman,prose,,,,,1861,,,,Français,,F,,,ROM00177,ROM00177.tei,585372,811
Valvèdre,"Sand, George, 1804-1876.",Sand,1861,roman,prose,,,,,1861,,,,Français,,F,,,ROM00208,ROM00208.tei,554216,812
Tamaris,"Sand, George, 1804-1876.",Sand,1862,roman,prose,,,,,1862,,,,Français,,F,,,ROM00204,ROM00204.tei,445512,823
Antonia,"Sand, George, 1804-1876.",Sand,1863,roman,prose,,,,,1863,,,,Français,,F,,,ROM00143,ROM00143.tei,510305,834
Les Dames vertes,"Sand, George, 1804-1876.",Sand,1863,roman,prose,,,,,1863,,,,Français,,F,,,ROM00182,ROM00182.tei,192982,835
Mademoiselle La Quintinie,"Sand, George, 1804-1876.",Sand,1863,roman,prose,,,,,1863,,,,Français,,F,,,ROM00191,ROM00191.tei,666651,836
La Confession d' une jeune fille,"Sand, George, 1804-1876.",Sand,1865,roman,prose,,,,,1865,,,,Français,,F,,,ROM00162,ROM00162.tei,822317,864
Laura,"Sand, George, 1804-1876.",Sand,1865,roman,prose,,,,,1865,,,,Français,,F,,,ROM00171,ROM00171.tei,213487,865
Evenor et Leucippe,"Sand, George, 1804-1876.",Sand,1866,roman,prose,,,,,1866,,,,Français,,F,,,ROM00149,ROM00149.tei,400355,873
Flavie,"Sand, George, 1804-1876.",Sand,1866,roman,prose,,,,,1866,,,,Français,,F,,,ROM00151,ROM00151.tei,149179,874
Monsieur Sylvestre,"Sand, George, 1804-1876.",Sand,1866,roman,prose,,,,,1866,,,,Français,,F,,,ROM00195,ROM00195.tei,567163,875
Le Dernier Amour,"Sand, George, 1804-1876.",Sand,1867,roman,prose,,,,,1867,,,,Français,,F,,,ROM00175,ROM00175.tei,507458,886
Cadio,"Sand, George, 1804-1876.",Sand,1868,roman,prose,,,,,1868,,,,Français,,F,,,ROM00144,ROM00144.tei,628829,893
Mademoiselle Merquem,"Sand, George, 1804-1876.",Sand,1868,roman,prose,,,,,1868,,,,Français,,F,,,ROM00192,ROM00192.tei,537353,894
Pierre qui roule,"Sand, George, 1804-1876.",Sand,1869,roman,prose,,,,,1869,,,,Français,,F,,,ROM00200,ROM00200.tei,361751,916
Le Beau Laurence,"Sand, George, 1804-1876.",Sand,1870,roman,prose,,,,,1870,,,,Français,,F,,,ROM00172,ROM00172.tei,393654,925
Malgrétout,"Sand, George, 1804-1876.",Sand,1870,roman,prose,,,,,1870,,,,Français,,F,,,ROM00193,ROM00193.tei,487938,926
Césarine Dietrich,"Sand, George, 1804-1876.",Sand,1871,roman,prose,,,,,1871,,,,Français,,F,,,ROM00147,ROM00147.tei,495215,932
Francia,"Sand, George, 1804-1876.",Sand,1872,roman,prose,,,,,1872,,,,Français,,F,,,ROM00152,ROM00152.tei,248096,945
Ma Soeur Jeanne,"Sand, George, 1804-1876.",Sand,1872,roman,prose,,,,,1872,,,,Français,,F,,,ROM00190,ROM00190.tei,455657,946
Nanon,"Sand, George, 1804-1876.",Sand,1872,roman,prose,,,,,1872,,,,Français,,F,,,ROM00197,ROM00197.tei,581032,947
La Tour de Percemont,"Sand, George, 1804-1876.",Sand,1875,roman,prose,,,,,1875,,,,Français,,F,,,ROM00169,ROM00169.tei,308464,986
Les Deux Frères,"Sand, George, 1804-1876.",Sand,1875,roman,prose,,,,,1875,,,,Français,,F,,,ROM00183,ROM00183.tei,355823,987
Rose et Blanche,"Sand, George, 1804-1876. et Sandeau, Jules, 1811-1883.",SandSandeau,1831,roman,prose,,,,,1831,,,,Français,,,,,ROM00201,ROM00201.tei,691118,216
Mademoiselle de La Seiglière,"Sandeau, Jules, 1811-1883.",Sandeau,1848,roman,prose,"Paris, Fasquelle, 1924.",,,,1924,1848,,,,,M,,,TLF,TLF.1084.tei,463413,631
Sacs et parchemins,"Sandeau, Jules, 1811-1883.",Sandeau,1851,roman,prose,"Paris, M. Levy, 1855.",,,,1855,1851,,,,,M,,,TLF,TLF.1095.tei,494739,663
"Patrie!: drame historique en cinq actes, en huit tableaux","Sardou, Victorien, 1831-1908.",Sardou,1869,theatre,prose,"Paris, M. Levy, 1869.",,,,1869,1869,,,,,M,,,TLF,TLF.1201.tei,290140,917
"Rabagas: comédie en cinq actes, en prose","Sardou, Victorien, 1831-1908.",Sardou,1872,theatre,prose,"Paris, Calmann-Levy, 1890.",,,,1890,1872,,,,,M,,,TLF,TLF.1214.tei,356841,948
Catéchisme d'économie politique,"Say, Jean Baptiste, 1767-1832.",Say,1815,traite,prose,Otto Zeller,Osnabruck/Paris,,,1848,1815,,,,,M,"Collection des principaux économistes, Tome 12; oeuvres de Jean-Baptiste Say, Volume 4. 3e édition publiée du vivant de l'auteur, 1826. Paris: Osnabrück; O. Zeller, 1966, Réimpression de l'édition 1848, pages 1-117. XVIII-748 p. Pagination does not correspond to the original edition.",,SayCatechisme,CSS.say_catechisme.tei,319084,82
"Traité d'économie politique, ou, Simple exposition de la manière dont se forment, se distribuent, et se consomment les richesses","Say, Jean Baptiste, 1767-1832.",Say,1832,traiteessai,prose,"Ed. H. Say. Paris, Guillaumin, 1841.",,,,1841,1832,,,,,M,,,TLF,TLF.945.tei,1262043,235
Le livre de Monelle,"Schwob, Marcel, 1867-1905.",Schwob,1894,melangeslitteraires,prose,"Paris, Mercure de France, 1959.",,,,1959,1894,,,,,M,,,TLF,TLF.1335.tei,146411,1254
Le mariage de raison,"Scribe, Eugène, 1791-1861.",Scribe,1826,theatre,prose,"In Oeuvres Completes, T.4. Paris, Furne, 1845.",,,,1845,1826,,,,,M,,,TLF,TLF.907.tei,111693,161
Bertrand et Raton,"Scribe, Eugène, 1791-1861.",Scribe,1833,theatre,prose,"In Theatre, T.1. Paris, Levy, 1856.",,,,1856,1833,,,,,M,,,TLF,TLF.962.tei,237219,264
La camaraderie,"Scribe, Eugène, 1791-1861.",Scribe,1837,theatre,prose,"In Theatre, T.1. Paris, Levy, 1856.",,,,1856,1837,,,,,M,,,TLF,TLF.1010.tei,224674,341
Le verre d'eau,"Scribe, Eugène, 1791-1861.",Scribe,1840,theatre,prose,"In Oeuvres Completes, T.5. Paris, Furne, 1845.",,,,1845,1840,,,,,M,,,TLF,TLF.1043.tei,208139,403
Les petites filles modèles,"Ségur, Sophie, comtesse de, 1799-1874.",Ségur,1858,roman,prose,"by the same author. Paris: Bookking International, 1995.",,,,,1858,,,,,F,,,FWW,FWW.segur.filles.tei,380960,763
Les Malheurs de Sophie,"Ségur, Sophie, comtesse de, 1799-1874.",Ségur,1864,roman,prose,"by the same author. Paris: Bookking International, 1995.",,,,,1864,,,,,F,,,FWW,FWW.segur.sophie.tei,244546,855
La Soeur de Gribouille,"Ségur, Sophie, comtesse de, 1799-1874.",Ségur,1862,theatre,prose,"Paris: Robert Laffont, 1990",,,,,1862,,,,,F,,,FWW,FWW.segur.gribouille.tei,375701,824
Introduction aux études historiques,"Seignobos, Charles, 1854-1942.",Seignobos,1898,traite,prose,Kime,Paris,,,1992,1898,,,,,M,Pagination does not correspond to the original edition.,,SeignobosEtudhisto,CSS.seignobos_etudhisto.tei,635328,1301
Oberman,"Senancour, Etienne de, 1770-1846.",Senancour,1804,roman,prose,,,,,1804,,,,Français,,M,,,ROM00211,ROM00211.tei,758309,33
Isabelle,"Senancour, Etienne de, 1770-1846.",Senancour,1833,roman,prose,,,,,1833,,,,Français,,M,,,ROM00210,ROM00210.tei,193096,265
Obermann,"Senancour, Etienne Pivert de, 1770-1846.",Senancour,1840,roman,prose,"Ed. G. Michaut. Paris, Hachette, 1912-1913.",,,,1912,1840,,,,,M,,,TLF,TLF.1044.tei,784957,404
[L' ]Europe et la Révolution française: 1e partie. Les Moeurs politiques et les traditions,"Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.125.tei,1414439,1111
[L' ]Europe et la Révolution française: 2e partie. La Chute de la royauté (1789-1792),"Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.126.tei,1471120,1112
[L' ]Europe et la Révolution française: 3e partie. La Guerre aux rois (1792-1793),"Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.127.tei,1341238,1113
[L' ]Europe et la Révolution française: 4e partie. Les Limites naturelles (1794-1795),"Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.128.tei,1171576,1114
[L' ]Europe et la Révolution française: 5e partie. Bonaparte et le Directoire (1795-1799),"Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.129.tei,1144530,1115
"[L' ]Europe et la Révolution française: 6e partie. La Trêve, Luneville et Amiens (1800-1805)","Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.130.tei,1234141,1116
"[L' ]Europe et la Révolution française: 7e partie. Le Blocus continental, le grand Empire (1806-1812)","Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.131.tei,1439581,1117
"[L' ]Europe et la Révolution française: 8e partie. La Coalition, les traités de 1815 (1812-1815)","Sorel, Albert, 1842-1906.",Sorel,1885,indefini,prose,"Texte de l' édition Plon, Paris, 1903-1906",,,,1885,,,,Français,,M,,,Sorel,Sorel.132.tei,1237278,1118
Huit Jours au château,"Soulié, Frédéric, 1800-1847.",Soulié,1843,indefini,prose,,,,,1843,,,,Français,,M,,,ROM00214,ROM00214.tei,735392,480
Aventures de Saturnin Fichet,"Soulié, Frédéric, 1800-1847.",Soulié,1850,indefini,prose,,,,,1850,,,,Français,,M,,,ROM00213,ROM00213.tei,1616742,650
Les Deux Cadavres,"Soulié, Frédéric, 1800-1847.",Soulié,1832,roman,prose,,,,,1832,,,,Français,,M,,,ROM00216,ROM00216.tei,930547,236
Les mémoires du diable,"Soulié, Frédéric, 1800-1847.",Soulié,1837,roman,prose,"Paris, A. Dupont, 1837.",,,,1837,1837,,,,,M,,,TLF,TLF.1011.tei,690705,342
Au jour le jour,"Soulié, Frédéric, 1800-1847.",Soulié,1845,roman,prose,,,,,1845,,,,Français,,M,,,ROM00212,ROM00212.tei,599203,537
La Comtesse de Monrion,"Soulié, Frédéric, 1800-1847.",Soulié,1846,roman,prose,,,,,1846,,,,Français,,M,,,ROM00215,ROM00215.tei,1456896,583
Les Drames inconnus,"Soulié, Frédéric, 1800-1847.",Soulié,1857,roman,prose,,,,,1857,,,,Français,,M,,,ROM00217,ROM00217.tei,2452841,750
Eugénie et Mathilde,"Souza, Adélaïde de, 1761-1836.",Souza,1811,memoires,prose,,,,,1811,,,,Français,,F,,,ROM00222,ROM00222.tei,412401,68
Charles et Marie,"Souza, Adélaïde de, 1761-1836.",Souza,1802,roman,prose,,,,,1802,,,,Français,,F,,,ROM00220,ROM00220.tei,113578,18
La Comtesse de Fargy,"Souza, Adélaïde de, 1761-1836.",Souza,1822,roman,prose,,,,,1822,,,,Français,,F,,,ROM00223,ROM00223.tei,553218,127
Mademoiselle de Tournon,"Souza, Adélaïde de, 1761-1836.",Souza,1822,roman,prose,,,,,1822,,,,Français,,F,,,ROM00224,ROM00224.tei,356599,128
Voyage Pensylvanie,"St. John de Crèvecoeur, J. Hector, 1735-1813.",Crèvecoeur,1801,recitvoyage,prose,"Paris, Maradan, 1801.",,,,1801,1801,,,,,M,,,TLF,TLF.841.tei,1403595,7
Delphine (tome 1),"Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1802,roman,prose,"Éd. Claudine Herrmann. Paris: Des femmes, 1981.",,,,,1802,,,,,F,,,FWW,FWW.stael.delphine1.tei,941298,19
Delphine (tome 2),"Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1802,roman,prose,"Éd. Claudine Herrmann. Paris: Des femmes, 1981.",,,,,1802,,,,,F,,,FWW,FWW.stael.delphine2.tei,736449,20
"Corinne, ou, L'Italie","Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1807,roman,prose,"Londres, Peltier, 1807.",,,,1807,1807,,,,,F,,,TLF,TLF.858.tei,1218890,45
De la littérature,"Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1800,traiteessai,prose,"Édition établie par Gérard Gengembre et Jean Glodzink. Paris: Flammarion, 1991.",,,,,1800,,,,,F,,,FWW,FWW.stael.litterature.tei,793610,5
De l'Allemagne,"Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1810,traiteessai,prose,"Ed. Par la Comtesse Jean de Pange. Paris, Hachette, 1958-1960.",,,,1958,1810,,,,,F,,,TLF,TLF.865.tei,1448989,65
Considérations sur la révolution française,"Staël, Madame de (Anne-Louise-Germaine), 1766-1817.",Staël,1817,traiteessai,prose,"Ed. Par le Duc de Broglie et le Baron de Stael. Paris, Charpentier, 1862.",,,,1862,1817,,,,,F,,,TLF,TLF.878.tei,1545548,93
Lamiel,"Stendhal, 1783-1842,",Stendhal,1842,roman,prose,"Ed. V. Del Litto. Lausanne, Ed. Rencontre, 1962.",,,,1962,1842,,,,,M,,,TLF,TLF.1053.tei,372695,460
Féder,"Stendhal, 1783-1842.",Stendhal,1839,indefini,prose,,,,,1839,,,,Français,,M,,,RRN00241,RRN00241.tei,200795,380
Souvenirs d'égotisme,"Stendhal, 1783-1842.",Stendhal,1832,memoires,prose,"Ed. H. Martineau. Paris, le Divan, 1950.",,,,1950,1832,,,,,M,,,TLF,TLF.946.tei,231759,237
Vie de Henry Brulard,"Stendhal, 1783-1842.",Stendhal,1836,memoires,prose,"Ed. H. Martineau. Paris, le Divan, 1949.",,,,1949,1836,,,,,M,,,TLF,TLF.1006.tei,702312,330
Armance,"Stendhal, 1783-1842.",Stendhal,1827,roman,prose,,,,,1827,,,,Français,,M,,,RRN00240,RRN00240.tei,383126,166
Le rouge et le noir,"Stendhal, 1783-1842.",Stendhal,1830,roman,prose,"Ed. H. Martineau. Paris, Garnier, 1963.",,,,1963,1830,,,,,M,,,TLF,TLF.925.tei,1182288,206
Lucien Leuwen. t. 1,"Stendhal, 1783-1842.",Stendhal,1835,roman,prose,"Ed. H. Martineau. Paris, le Divan, 1929.",,,,1929,1835,,,,,M,,,TLF,TLF.992.tei,497385,308
Lucien Leuwen. t. 2,"Stendhal, 1783-1842.",Stendhal,1835,roman,prose,"Ed. H. Martineau. Paris, le Divan, 1929.",,,,1929,1835,,,,,M,,,TLF,TLF.993.tei,555134,309
Lucien Leuwen. t. 3,"Stendhal, 1783-1842.",Stendhal,1835,roman,prose,"Ed. H. Martineau. Paris, le Divan, 1929.",,,,1929,1835,,,,,M,,,TLF,TLF.994.tei,556210,310
[Le] Rose et le Vert,"Stendhal, 1783-1842.",Stendhal,1837,roman,prose,,,,,1837,,,,Français,,M,,,RRN00245,RRN00245.tei,172991,343
L'abbesse de Castro.,"Stendhal, 1783-1842.",Stendhal,1839,roman,prose,"In Chroniques Italiennes, Ed. M. Crouzet. Paris, Colin, 1960.",,,,1960,1839,,,,,M,,,TLF,TLF.1026.tei,236781,381
La chartreuse de Parme,"Stendhal, 1783-1842.",Stendhal,1839,roman,prose,"Ed. H. Martineau. Paris, Garnier, 1962.",,,,1962,1839,,,,,M,,,TLF,TLF.1027.tei,1204559,382
De l'amour,"Stendhal, 1783-1842.",Stendhal,1822,traiteessai,prose,"Ed. H. Martineau. Paris, Garnier, 1959.",,,,1959,1822,,,,,M,,,TLF,TLF.887.tei,472480,129
"Racine et Shakspeare. 1, 1823","Stendhal, 1783-1842.",Stendhal,1823,traiteessai,prose,"Ed. P. Martino, T.1. Paris, Champion, 1925.",,,,1925,1823,,,,,M,,,TLF,TLF.890.tei,68930,136
"Racine et Shakspeare. 2, 1825","Stendhal, 1783-1842.",Stendhal,1825,traiteessai,prose,"Ed. P. Martino, T.1. Paris, Champion, 1925.",,,,1925,1825,,,,,M,,,TLF,TLF.903.tei,127719,157
Nélida,"Stern, Daniel (Marie de Flavigny, comtesse d'Agoult), 1805-1876.",Stern,1846,roman,prose,"Présentation par Charles F. Dupêchez. Paris: Calamann-Lévey, 1987",,,,,1846,,,,,F,,,FWW,FWW.stern.nelida.tei,437264,584
Arthur ou le journal d' un inconnu,"Sue, Eugène",Sue,1839,roman,prose,,,,,1839,,,,Français,,M,,,ROM00228,ROM00228.tei,1135664,383
Les Mystères de Paris,"Sue, Eugène, 1804-1857",Sue,1843,roman,prose,,Paris,,,1843-44,,,,French,,M,Pagination does not correspond to the original edition.,,GUT,GUT.mysteres.tei,4201371,481
La Coucaratcha,"Sue, Eugène, 1804-1857.",Sue,1834,indefini,prose,,,,,1834,,,,Français,,M,,,ROM00229,ROM00229.tei,738551,284
